title,season,episode,og_date,month,color_list,subject
Deep Wilderness Home,22,8,February 19 1991,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLIFF', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Haven in the Valley,22,9,February 26 1991,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'PATH', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES']"
Wintertime Blues,22,10,March 5 1991,March,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'CUMULUS', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Pastel Seascape,22,11,March 12 1991,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'FRAMED', 'OCEAN', 'OVAL_FRAME', 'SUN', 'WAVES']"
Country Creek,22,12,March 19 1991,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Silent Forest,22,13,March 26 1991,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES']"
Frosty Winter Morn,23,1,September 3 1991,September,"['Alizarin Crimson', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FENCE', 'HILLS', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Forest Edge,23,2,September 10 1991,September,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'PATH', 'TREE', 'TREES']"
Mountain Ridge Lake,23,3,September 17 1991,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE']"
Reflections of Gold,23,4,September 24 1991,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'SNOW', 'SUN', 'TREE', 'TREES']"
Quiet Cove,23,5,October 1 1991,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'HILLS', 'LAKE', 'ROCKS', 'TREE', 'TREES']"
Rivers Peace,23,6,October 8 1991,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
At Dawn's Light,23,7,October 15 1991,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'PATH', 'TREE', 'TREES']"
Valley Waterfall,23,8,October 22 1991,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'MOUNTAIN', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'WATERFALL']"
Toward Days End,23,9,October 29 1991,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'DECIDUOUS', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']"
Falls in the Glen,23,10,November 5 1991,November,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Frozen Beauty in Vignette,23,11,November 12 1991,November,"['Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Crimson Tide,23,12,November 19 1991,November,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLIFF', 'CLOUDS', 'OCEAN', 'ROCKS', 'SUN', 'WAVES']"
Winter Bliss,23,13,November 26 1991,November,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'DECIDUOUS', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'WINTER']"
Gray Mountain,24,1,January 7 1992,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Wayside Pond,24,2,January 14 1992,January,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'TREE', 'TREES']"
Teton Winter,24,3,January 21 1992,January,"['Alizarin Crimson', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CABIN', 'DECIDUOUS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Little Home in the Meadow,24,4,January 28 1992,January,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'STRUCTURE', 'TREE', 'TREES']"
A Pretty Autumn Day,24,5,February 4 1992,February,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Mirrored Images,24,6,February 11 1992,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'ROCKS', 'TREE', 'TREES']"
Back-Country Path,24,7,February 18 1992,February,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'PATH', 'TREE', 'TREES']"
Graceful Waterfall,24,8,February 25 1992,February,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLIFF', 'DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']"
Icy Lake,24,9,March 3 1992,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'OVAL_FRAME', 'SNOW', 'STEVE_ROSS', 'TREE', 'TREES', 'WINTER']"
Rowboat on the Beach,24,10,March 10 1992,March,"['Alizarin Crimson', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BEACH', 'BOAT', 'CLOUDS', 'FRAMED', 'GRASS', 'HILLS', 'OCEAN', 'OVAL_FRAME', 'SUN', 'WAVES']"
Portrait of Winter,24,11,March 17 1992,March,"['Alizarin Crimson', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']"
The Footbridge,24,12,March 24 1992,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'CONIFER', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']"
Snowbound Cabin,24,13,March 31 1992,March,"['Alizarin Crimson', 'Black Gesso', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CABIN', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'FENCE', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Hide A Way Cove,25,1,August 25 1992,August,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Enchanted Falls Oval,25,2,September 1 1992,September,"['Alizarin Crimson', 'Black Gesso', 'Indian Yellow', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Not Quite Spring,25,3,September 8 1992,September,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'LAKE', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']"
Splashes of Autumn,25,4,September 15 1992,September,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Summer in the Mountain,25,5,September 22 1992,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']"
Oriental Falls,25,6,September 29 1992,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FOG', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']"
Autumn Palette,25,7,October 6 1992,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'FENCE', 'LAKE', 'TREE', 'TREES']"
Cypress Swamp,25,8,October 13 1992,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'TREE']"
Downstream View,25,9,October 20 1992,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Just Before the Storm,25,10,October 27 1992,October,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'FRAMED', 'OCEAN', 'OVAL_FRAME', 'PALM_TREES', 'WAVES']"
Fisherman's Paradise,25,11,November 3 1992,November,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'LAKE', 'STRUCTURE', 'SUN', 'TREE', 'TREES']"
Desert Hues,25,12,November 10 1992,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CACTUS', 'CIRRUS', 'CLOUDS', 'MOUNTAIN', 'PATH']"
The Property Line,25,13,November 17 1992,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'FENCE', 'SNOW', 'TREE', 'WINTER']"
In the Stillness of Morning,26,1,December 1 1992,December,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FOG', 'GRASS', 'RIVER', 'TREE', 'TREES']"
Delightful Meadow Home,26,2,December 8 1992,December,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'FENCE', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
First Snow,26,3,December 15 1992,December,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']"
Lake in the Valley,26,4,December 22 1992,December,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'PATH', 'SNOWY_MOUNTAIN', 'SUN', 'TREE', 'TREES']"
A Trace of Spring,26,5,December 29 1992,December,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'FLOWERS', 'GRASS', 'RIVER', 'TREE', 'TREES']"
An Arctic Winter Day,26,6,January 5 1993,January,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Snow Birch,26,7,January 12 1993,January,"['Black Gesso', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Titanium White']","['DECIDUOUS', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Early Autumn,26,8,January 19 1993,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'LAKE', 'MOUNTAIN', 'OVAL_FRAME', 'TREE', 'TREES']"
Tranquil Wooded Stream,26,9,January 26 1993,January,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Purple Mountain Range,26,10,February 2 1993,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']",[]
Storm's A Comin,26,11,February 9 1993,February,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'CUMULUS', 'HILLS', 'OCEAN', 'ROCKS', 'WAVES']"
Sunset Aglow,26,12,February 16 1993,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'TREE', 'TREES']"
Evening at the Falls,26,13,February 23 1993,February,"['Black Gesso', 'Cadmium Yellow', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CONIFER', 'NIGHT', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Twilight Beauty,27,1,March 2 1993,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'DECIDUOUS', 'FOG', 'FRAMED', 'LAKE', 'OVAL_FRAME', 'SUN', 'TREE', 'TREES']"
Angler's Haven,27,2,March 9 1993,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Rustic Winter Woods,27,3,March 16 1993,March,"['Alizarin Crimson', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White']","['DECIDUOUS', 'SNOW', 'SUN', 'TREE', 'TREES', 'WINTER']"
Wilderness Falls,27,4,March 23 1993,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']"
Winter at the Farm,27,5,March 30 1993,March,"['Alizarin Crimson', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'FARM', 'FENCE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Daisies at Dawn,27,6,April 6 1993,April,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FLOWERS', 'FRAMED', 'LAKE', 'OVAL_FRAME', 'STRUCTURE', 'TREE', 'TREES']"
A Spectacular View,27,7,April 13 1993,April,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
Daybreak,27,8,April 20 1993,April,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FENCE', 'FOG', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Island Paradise,27,9,April 27 1993,April,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'FRAMED', 'HILLS', 'OCEAN', 'OVAL_FRAME', 'PALM_TREES', 'ROCKS', 'WAVES']"
Sunlight in the Shadows,27,10,May 4 1993,May,"['Alizarin Crimson', 'Black Gesso', 'Liquid Clear', 'Midnight Black', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'GUEST', 'RIVER', 'SUN', 'TREE', 'TREES']"
Splendor of a Snowy Winter,27,11,May 11 1993,May,"['Alizarin Crimson', 'Dark Sienna', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Forest River,27,12,May 18 1993,May,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'SUN', 'TREE', 'TREES']"
Golden Glow of Morning,27,13,May 20 1993,May,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CONIFER', 'FOG', 'LAKE', 'ROCKS', 'SUN', 'TREE', 'TREES']"
